;eval-saturation_linear_1-linear_2
0;0.0
1;0.0
2;0.0
3;0.0
4;0.0
5;0.0
6;0.0
7;0.0
8;0.0
9;0.0
10;0.0
11;0.5
12;0.5
13;0.5
14;0.5
15;0.5
16;0.5
17;0.5
18;1.0
19;1.0
20;1.0
21;1.0
22;1.0
23;1.0
24;1.0
25;1.0
26;1.0
27;1.0
28;1.0
29;1.5
30;1.5
31;1.5
32;1.5
